Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
420208 Bandeirante,2957.14,3392.08,3774.31,5774.16,6840.43,7525.96,6677.91,8625.52,9592.86,10661.41,12930.6,13839.02,11904.15,7968.4
420209 Barra Bonita,4363.87,4807.53,5254.86,7837.04,8554.88,8211.65,8253.46,9968.81,12024.1,12070.94,14399,13620.3,12637.01,9293.7
420210 Barra Velha,3951.78,4497.75,5112.37,6966.34,9165.55,11249.86,11994.55,12951.22,14287.63,16237.24,17214.19,18733.69,24331.78,12793.57
420213 Bela Vista do Toldo,4520.68,5135.22,6990.01,9840.46,9991.28,9457.47,9036.49,12135.42,14522.39,15144.75,18147.26,15229.8,13676.38,11159.17
420215 Belmonte,4206.56,4824.2,4762.68,7894.06,9197.76,9972.57,9875.14,11456.25,9962.9,11207.65,12148.9,14181.58,12951.4,9460.4
420220 Benedito Novo,4684.09,5222.96,6196.22,8234.29,10280.61,10471.22,12211.99,11632.78,10971.56,11564.07,12533.25,13403.82,13132.68,10168.92
420230 Biguaçu,9423.45,10546.63,10881.42,13976.26,14130.29,14794.09,14967.42,17268.28,19621.67,21363.02,22987.92,26654.92,17811.61,16750.23
420240 Blumenau,12366.11,13128.6,13854.04,14837.07,16659.14,17934,20345.38,21954.12,24954.21,25642.39,28963.83,32617.11,34564.16,21763.6
420243 Bocaina do Sul,8089.4,8776.99,10109.09,10310.33,8756.62,9864.87,10101.28,11400.85,12639.08,15378.41,18350.65,16136.58,13121.68,11854.36
420250 Bom Jardim da Serra,4006.31,5081.4,5222.44,8425.31,6800.72,7858.75,9782.93,9197.07,11439.58,10853.61,12786.22,13778.25,12366.53,9145.36
420253 Bom Jesus,4814.74,5178.77,5914.07,12269.19,12912.61,12022.17,12100.33,15749.09,16812.94,24150.55,19517.01,19267.91,17336.51,14131.14
420257 Bom Jesus do Oeste,4318.49,4613.33,6042.39,7968.94,8832.4,7695.36,7331.26,9517.7,13135.09,13539.44,12818.69,14945.76,12823.91,9492.1
420260 Bom Retiro,5782.28,8844.53,9396.49,9823.6,9218.91,10242.44,10562.42,10022.39,12132.51,13529.39,15898.62,15433.72,15004.26,11329.64
420245 Bombinhas,5570.83,6390.65,7152.58,8246.77,8833.84,9588.19,11145.05,11988.61,12086.17,13067.2,15139.76,16462.56,16859.77,11602.37
420270 Botuverá,8074.2,9291.94,7948.55,9348.31,11398,12191.96,14326.95,16029.02,16490.87,18658.22,21015.59,29853.7,23878.34,15804.52
420280 Braço do Norte,6898.47,7496.65,9154.71,9709.52,12258.96,11336.87,10792.01,11533.73,15011.42,17161.9,19337.24,20521.65,20921.72,13403.33
420285 Braço do Trombudo,9500.69,10993.73,11518.53,14297.55,18034.08,19349.47,19431.37,21781,32436.47,24673.27,32190.14,44017.74,37625.44,22906.33
420287 Brunópolis,4578.2,5518.39,7179.47,9922.36,9208.24,8141.71,9253.78,9368.71,12885.3,14118.96,17852.37,17847.84,15638.92,10620.54
420290 Brusque,16366.21,12311.48,13573.27,14982.18,17729.95,19165.48,21313.84,22602.78,23170.7,23777.08,27910.08,30611.12,32039.55,21928.09
420300 Caçador,7631.64,9013.41,9798.68,12063.35,13719.97,14150.88,15428.65,15609.73,17696.52,18508.24,21644,24442.04,24080.9,15850.58
420310 Caibi,5452.41,5918.05,7097.88,10210.47,10827.88,10986.12,12393.02,15287.1,15120.99,15730.7,16501.31,15111.36,14111.05,11890.9
420315 Calmon,3212.39,3772.61,3322.22,5652.22,5360.94,7813.25,8350.22,9018.62,9158.81,9653.68,16334.1,12764.59,11250.99,8095.99
420320 Camboriú,2787.75,3082.63,3330.24,4043.8,4373.46,4807.44,5343.49,5881.57,6974.82,7705.98,8927.5,10593.98,11153.79,6462.22
420330 Campo Alegre,5869.13,6151.14,7784.33,8842.97,10200.26,9544.24,9664.48,9919.73,12307.91,14505.23,16824.94,19745.57,17008.88,11366.92
420340 Campo Belo do Sul,3952.85,5144.32,6464.38,8081.27,8228.76,7726.81,7679.55,9531.69,10546.53,11692.11,13677.39,14757.06,13249.95,9215.92
420350 Campo Erê,6370.06,7387.09,9228.17,14086.93,15418.87,13108.54,15212.96,19238.45,20019.63,19294.76,19569.87,19326.89,17781.63,14936.68
420360 Campos Novos,8331.45,9652.75,10814.31,13801.61,13245.33,13961.08,13554.26,17179.89,20963.41,27236.19,26304.7,27523.96,27395.15,17990
420370 Canelinha,4077.29,4433.12,4445.14,5192.52,5993.68,6219.81,7019.56,7837.46,8514.53,9995.89,11358.98,12056.4,12984.92,7885.98
420380 Canoinhas,6155.16,6823.33,8654.37,10728.36,12393.11,12120.66,12161.71,12901.11,15033.93,15936.83,17933.26,18312.71,18471.67,12934.85
420325 Capão Alto,5516.29,6030.66,6453.48,8227.06,8647.15,9250.93,9828.11,9378.16,13223.89,14151.8,19660.24,21314.27,21232.98,11559.84
420390 Capinzal,14126.24,18038.01,18466.07,19511.74,21657.35,19662.2,19033.93,21414.37,30686.33,30492.9,28489.28,28884.3,30096.92,22937.18
420395 Capivari de Baixo,3284.25,3961.09,4308.9,5114.42,5350.96,5763.87,6510.2,7136.45,12385.41,12071.36,14851.75,17087.41,17450.75,9124.48
420400 Catanduvas,16194.51,16486.26,19085.13,23037.93,24647.49,24487.32,22687.03,23113.79,28520.06,25988.46,26741.6,15738.04,16783.64,21855.98
420410 Caxambu do Sul,5103.99,5612.49,5446.84,8753.24,8218.1,8059.06,8957.48,10596.63,11138.83,11271.02,13638.23,16405.09,15597.81,9704.47
420415 Celso Ramos,3758.5,4516.43,5867.19,6797.3,7497.95,7190.48,8018.17,10870.74,12273.22,11865.15,13274.19,14396.58,11313.17,9054.76
420417 Cerro Negro,2629.93,3288.8,4068.56,4745.27,4526.9,5186.77,5289.82,6851.66,6907.92,7372.07,9172.25,10716.26,10442.42,6171.02
420419 Chapadão do Lageado,5347.71,5983.68,8146.98,9669.47,12162.23,11520.67,11580.29,13791.3,15322.61,16500.03,21940.14,16586.01,16539.47,12860.73
420420 Chapecó,10105.45,11428.31,12956.79,15141.62,16831.68,16761.56,17578.5,19875.4,25002.66,24931.47,22608.27,24179.73,27819.37,19247.99
420425 Cocal do Sul,9901.84,10057.5,10695.55,12649.2,14735.12,14625.38,15738.51,15597.99,18885.08,20531.56,26352.67,28318.04,42921.87,18779.84
420430 Concórdia,11324.53,13005.69,14129.7,15705.98,17539.99,19529.33,18362.08,20592.97,23520.87,23377.48,26417.94,22859.93,34784.73,20277.01
420435 Cordilheira Alta,11030.41,12444.09,16835.46,20969.03,23935.67,26321.94,28559.84,36222.95,41174.13,36547.79,36732.61,42487.44,39650.8,29408
420440 Coronel Freitas,4657.09,5137.53,5701.51,7247.83,8493.36,10238.96,10544.73,11548.29,15545.96,15721.54,16585.57,17108.99,15982.17,11072.09
420445 Coronel Martins,4165.22,4719.22,5623.59,8985.16,9483.04,10400.86,10325.67,15321.75,12626.6,12725.84,13455.66,14718.34,10820.21,10242.89
420455 Correia Pinto,10663.29,12314.71,14546.67,15999.18,15872.71,13220.85,15339.29,18735.85,22879.38,23171.23,25655.81,24068.09,22475.56,17772.44
420450 Corupá,5297.06,6302.57,7082.46,8403.26,10937.4,11730.39,11577.86,12785.21,14015.41,15100.21,17347.4,21252.63,17323.53,12496.62
420460 Criciúma,7165.87,7791.75,8534.75,9495.72,10860.18,11425.27,12649.97,13274.5,14922.42,16910.5,18545.31,21133.56,25932.19,13948.64
420470 Cunha Porã,6683.85,7260.08,10095.64,14010.08,15762.06,23277.18,14425.3,17800.27,21103.18,20916.55,22825.66,20203.52,24693.81,16959.44
420475 Cunhataí,4824.64,4427.36,5960.66,8375.1,9432.38,9651.1,8241.49,10798.55,12005.68,11923.24,14178.51,14468.94,11652.78,9755.82
420480 Curitibanos,5802.71,6439.38,7229.21,8514.73,9695.47,10119.2,11775.21,11236.47,12875.15,13888.81,16460.61,15572.31,16282.74,11285.01
420490 Descanso,5414.61,6304.12,7307.06,9264.23,10008.97,10872.15,10680.27,12873.89,14472.8,15222.83,15637.42,16177.08,14790.25,11427.34
420500 Dionísio Cerqueira,3469.38,4215.5,4752.2,5819.2,6046.22,7198.13,8903.83,11743.86,15059.9,16651.6,18313.53,22543.91,22627.37,11453.06
420510 Dona Emma,4884.99,5301.37,6552.76,7966.09,8762.24,10752.72,10646.7,11541.11,11602.26,12898.73,13574.44,14562.2,13042.54,10298.91
420515 Doutor Pedrinho,4514.36,5053.7,5000.15,6722.18,7196.04,7276.14,7853.9,8303.09,8840.67,11217.75,11514.44,13032.91,13391.49,8643.69
420517 Entre Rios,2454.66,2853.46,3126.37,4130.53,4723.13,5855.11,5712.18,6799.61,7574.5,7652.16,8092.85,9922.37,9314.16,6081.11
420519 Ermo,7365.1,9850.46,12637.24,17862.54,20316.05,20630.64,18075.06,20983.31,18793.27,21806.75,18138.11,19319.85,22270.27,17498.5
420520 Erval Velho,4946.52,5792.67,6816.62,9183.84,9654.38,10006.39,10018.3,11256.11,15489.4,13315.23,13942.4,18696.46,15237.41,11147.11
420530 Faxinal dos Guedes,6323.18,7428.69,8687.65,11587.82,11961.29,13325.62,12796.18,14174.81,19242.42,19810.76,19827.4,24912.49,22321.17,14695.15
420535 Flor do Sertão,4312.44,4098.92,4948.03,7611.05,7322.91,7570.71,7521.36,8642.24,9891.21,10817.65,11339.11,13543.86,13092.57,8515.39
420540 Florianópolis,8669.81,9481.82,11164.57,12125.96,13456.49,15179.81,16362.23,17023.65,20195.41,20308.55,23280.16,26749.29,29122.65,17583.65
420543 Formosa do Sul,3742.4,4003.46,5173.92,6440.66,6959.07,7832.72,7932.42,10286,12108.8,12482.18,14281.73,16016.29,13877.07,9283.98
420545 Forquilhinha,17041.15,15824.45,10996.31,13589.4,18078.83,17369.93,16479.54,18490.16,24413.13,23942.8,27021.98,28688.67,24436.06,20023.25
420550 Fraiburgo,7953.28,7651.52,8377.41,9145.67,9782.38,10519.4,13016.33,12067.56,13380.03,13875.54,16436.69,15782.71,16521.06,11922.66
420555 Frei Rogério,6655.32,7961.41,6211.9,8372.43,6998.16,6694.09,8588.96,8376.04,15919.35,17970.02,19242.46,14469.06,15751.42,10584.23
420560 Galvão,4762.8,5234.33,7135.58,9592.23,11516.94,10469.75,9170.5,11760.16,15613.66,15180.42,14653.05,16621.8,12634.17,10835.31
420570 Garopaba,4039.58,4793.79,5178.7,6428.14,7601.5,8338.61,9701.39,9573,10069.61,11843.32,12536.8,13567.69,13453.54,9372.61
420580 Garuva,3727.89,4583.34,5172.07,7086.61,9210.29,9840.13,12459.62,15652.77,18688.49,19354.4,23070.08,29492.8,29953.63,15297.4
420590 Gaspar,9042.01,9968.47,10839.63,17031.44,14077.09,15004.87,15893.38,17928.65,19429.96,21264.83,24022.42,28337.19,30076.1,18383.08
420600 Governador Celso Ramos,3451.32,3897.65,4340.34,5046.18,5503.05,5976.15,6668.73,6991.02,8309.51,9249.62,10877.74,11737.12,14149.14,7501.89
420610 Grão Pará,6177.09,6444.17,8089.67,9227.29,11690.73,12785.64,11007.7,15321.44,16548.86,18276.69,16718.84,18030.1,15500.28,12861.02
420620 Gravatal,2808.1,3223.31,3502.87,4479.39,4485.06,4775.24,4975.57,5447.98,7985.24,11234.5,8931.01,9689.93,8568.46,6098.94
420630 Guabiruba,5855.89,6379.52,7190.61,8090.15,10230.52,11558.15,14631.34,17224.53,17864.45,20862.57,24591.7,29175.59,26707.16,16431.31
420640 Guaraciaba,4329.17,5205.94,5543.01,7581.29,8980.17,10089.72,9687.49,11172.81,12451.71,12815.1,13660.58,16278.04,14974.68,10169.94
420650 Guaramirim,14672.11,14819.6,14416.13,16486.69,20087.17,21641.82,24504.56,30004.85,36087.52,41651.92,41455.17,47665.98,28385.91,28326.9
420660 Guarujá do Sul,4371.92,5256.45,5758.06,7891.5,8709.13,8613.17,10671.34,13975.6,20057.9,20131.83,15685.73,18492.17,18981.85,12312.5
420665 Guatambú,3995.83,4564.69,5515.6,7588.2,11784.1,14496.96,16697.7,21864.08,31571.12,25033.24,28854.58,32727.13,25220.55,17639.11
420670 Herval d'Oeste,6931.04,7950.37,7876.15,9698.67,10746.03,11189.69,12386.23,12513.24,15803.57,16898.38,16379.66,12623.69,15844.29,12063.19
420675 Ibiam,4235.21,4724.43,5044.13,7153.17,8024.95,9166.95,8330.75,11249.33,14268.69,11944.2,11964.04,15281.72,13052.37,9605.34
420680 Ibicaré,5270.39,5976.58,6972.96,9042.94,9266.09,9552.72,9054.85,11332.35,13529.07,13509.33,14201.88,17679.48,16923.83,10887.97
420690 Ibirama,6620.21,6915.64,6858.02,7723.82,8860.81,8943.01,9301.77,9813.21,11188.39,12048.3,14550.62,16943.84,14855.84,10441.88
420700 Içara,5714.5,5940.41,6784.37,8219.75,9208.72,9870.52,10432.04,11784.85,14604.22,16639.56,19589.94,17457.05,19133.9,12249.82
420710 Ilhota,4204.4,5203.75,8040.64,10244.85,6851,7796.64,9123.09,8543.03,9758.13,9812.57,13650.45,21483.43,21803.74,10767.13
420720 Imaruí,2891.53,3694.71,4335.72,5642.3,6761.95,6778.82,7301.3,8380.5,9209.64,11005.18,11244.41,11298.64,11141.08,7522.47
420730 Imbituba,4388.84,5888.77,5419.71,6579.25,9148.66,10573.45,16015.03,18413.67,21995.11,24354.06,25289.15,22774.59,23981.85,15277.47
420740 Imbuia,5467.93,6959.9,7933.14,8677.07,10024.14,10291.66,10846.45,12482.72,13908.47,15784.29,17298.23,15172.49,14835.78,11651.71
420750 Indaial,9239.19,10297.5,10935.44,13273.18,15858.76,15702.5,17615.59,18716.23,20177.96,21235.38,25598.47,26599.4,25137.42,18352.54
420757 Iomerê,5744,6452.71,6561.53,8688.99,10488.78,11176.86,10434.36,12004.03,15848.84,15853.09,13523.33,19364.89,12945.77,11535.43
420760 Ipira,3486.28,3798.48,4030.37,5051.4,5524.53,5939.02,5757.28,6305.02,8593.7,9010.97,9194.6,13509.78,12304.48,7008.31
420765 Iporã do Oeste,5251.16,6016.36,7133.79,9255.34,9731,10534.8,9806.47,11895.98,14091.99,14637.52,14405.77,17756.61,15549.96,11356.66
420768 Ipuaçu,4260.45,5169.81,7164.78,9587.38,9917.97,7587.95,6914.16,8303.2,12908.14,14032.16,14784.2,14152.64,10165.37,9745.31
420770 Ipumirim,7009.95,8481.74,10193.61,13240.46,16250.17,17106.92,16489.17,19908.81,25284.34,25205.86,26126.53,32836.08,29709.42,19280.56
420775 Iraceminha,4253.86,4242.38,5506.43,8664.45,9560.33,8316.42,8987.06,10692.06,12640.83,13983.93,15534.98,18804.78,14253.47,10376.73
420780 Irani,3633.95,4035.64,4719.97,5882.27,7419.87,7496.67,7689.37,8698.73,10427.94,10900.87,12990.59,15532.07,14365.3,8881.41
420785 Irati,4545.5,4893.89,6064.78,7577.83,7381.81,8048.05,8306.61,11602.79,13079.52,13313.76,12661.54,14522.09,12406.32,9509.19
420790 Irineópolis,5373.54,6038.51,8026.48,11171.89,12687.47,11631.57,10463.31,12727.92,15965.56,17394.22,19692.1,17851.59,15387.43,12794.23
420800 Itá,7389.34,5974.49,8076.1,14240.96,17287.56,14837.06,13052.51,20281.03,27083.24,28548.09,31065.47,41851.52,30827.87,19800.32
420810 Itaiópolis,5325,6130.53,6754.98,9022.39,9923.22,10113.49,10633.82,11486.64,13969.94,16408.6,19003.94,20109.75,19002.54,12249.66
420820 Itajaí,11607.84,15073.52,20539.24,25404.37,32220.61,36563.37,37465.09,46629.69,59848.81,63277.44,83082.62,99923.47,104635.28,51207.53
420830 Itapema,5729.56,6149.48,6040.04,7084.31,7988.18,8378.41,9109.24,9623.88,12297.3,13558.06,13584.89,15051.04,16438.02,10743.52
420840 Itapiranga,9597.04,13814.01,13727.53,17771.98,21870.91,22190.19,22328.97,26603.53,32347.72,32039.49,32782.47,35460.97,20507.82,23515.11
420845 Itapoá,4358.12,4587.61,5241.82,6110.4,6562.33,6934.33,8135.62,8357.17,10700.39,11888.43,11642.56,12989.38,15451.99,9217.59
420850 Ituporanga,6868.32,7745.52,8398.94,10696.02,12011.49,12472.53,14064.74,16012.17,18001.97,19095.18,21354.77,19623.63,17203.81,14344.81
420860 Jaborá,5340.77,6549.19,7391.2,8912.49,11139.58,12351.36,10578.26,12731.18,15770.91,15081.76,15624.31,20746.93,16682.7,12180.01
420870 Jacinto Machado,4319.96,5184.78,6335.99,9867.72,10751.21,10076.73,10647.11,12021.67,15365.81,16403.49,16050.34,18179.11,19879.37,11913.31
420880 Jaguaruna,5922.86,6146.46,5478.54,7163.35,8027.41,7775.88,7710.54,8272.1,10816.94,12071.44,12805.02,14651.66,16991.59,9724.76
420890 Jaraguá do Sul,15053.9,16945.07,18274.46,21682.84,25930.33,26691.3,22488.42,31007.13,35221.28,33796.66,36747.3,42063.97,45069.49,29410.74
420895 Jardinópolis,4175.23,4625.57,5239.67,7611.37,8992.86,7187.14,7174.78,9331.54,12143.42,12302.04,10566.1,22560.14,21458.89,10074.87
420900 Joaçaba,14014.17,16011.48,19532.11,22470.45,25015.47,24977.94,25217.91,28797.67,31064.39,33644.39,34747.28,34788.3,44237.86,27598.2
420910 Joinville,10942.23,11781.89,12610.98,14376.43,17056.13,18625.42,21566.15,22697.93,26864.29,26842.57,35851.78,36086.31,34767.17,22806.73
420915 José Boiteux,3875.44,4220.98,5150.84,6327.31,6987.91,7888.01,8079.65,8640.74,9534.53,10081.31,13181.85,12567.25,11248.62,8337.62
420917 Jupiá,3894.7,4417.74,5580.08,8414.92,8626.35,8140.84,8261.03,11164.29,13526.1,13239.79,14644.84,16240.22,14198.66,10002.34
420920 Lacerdópolis,5922.94,6505.03,7271.93,9148.19,10391.34,9400.1,8267.3,13758.63,18098.64,17578.95,12896.47,23423.88,21410.49,12647.05
420930 Lages,5438.65,6103.92,6866.67,8199.97,9524.52,10582.12,11801.62,11979.85,14145.51,14158.52,17195.28,19214.26,21349.94,12018.62
420940 Laguna,3499.01,3864.02,4272.89,4930.28,5309.69,5896.24,6819.18,7297.78,7988.5,8567.24,10166,10810.28,10992.99,7034.01
420945 Lajeado Grande,5338.12,5789.63,6348.86,9401.42,11375.41,11889.93,10655.8,11043.33,17418.73,19111.48,17662.47,19668.26,14685.32,12192.6
420950 Laurentino,6937.6,7632.88,8482.09,11245.54,12789.25,13941.85,15798.56,18094.3,23148.02,24335.16,26047.09,19388.01,19950.8,16313.95
420960 Lauro Muller,9285.87,11370.67,5046.49,6515.21,9025.73,9268.01,10004.16,11799.86,13398.32,12897.67,11450.05,14067.22,13825.58,10668.47
420970 Lebon Régis,3446.6,3594.56,4281.83,5402.61,5420.73,5941.5,7404.31,7657.5,9659.27,10470.2,17436.91,13210.03,11825,8132.8
420980 Leoberto Leal,4921.16,6842.78,8571.85,8744.41,6730.79,9957.32,9717.68,12141.49,13989.73,15562.19,18702.41,16520.79,16011.08,11320.94
420985 Lindóia do Sul,4817.62,5580.34,6682.72,8475.92,9895.21,10882.75,9707.63,13020.09,19741.2,22026.55,19016.64,26670.39,16617.3,13254.14
420990 Lontras,4381.62,4935.31,5601.5,6733.18,6534.93,6894.6,7934.24,9052.63,10677.18,11529.88,12525.93,14089.7,12411.68,8952.88
421000 Luiz Alves,7709.4,9273.17,9458.83,11314.49,13978.36,14556.44,15541.34,17555.5,20269.73,21849.23,24757.07,30099.58,29770.11,18098.14
421003 Luzerna,4935.05,5520.57,6239.79,7756.61,8742.08,9243.36,9650.84,10841.65,13873.6,14247,15425.73,19728.4,16696.27,10978.72
421005 Macieira,3904.12,4044.47,4307.4,6452.29,7091.96,8402.31,10165.96,11972.6,12740.31,15070.57,16326.5,14570.9,13690.51,9865.64
421010 Mafra,6795.64,7657.18,9165.11,10833.62,12738.04,12295.05,12492.97,13458.33,16439.53,17010.37,17906.71,19102.51,21714.15,13753.11
421020 Major Gercino,4457.53,5477.62,6069.44,7191.04,7907.44,9278.97,9273.7,9442.24,10373.39,12548.13,10868.59,11471.56,11168.69,8893.23
421030 Major Vieira,5067.62,5518.99,7596.77,10448.57,9882,9848.52,10295.66,14275.3,15450.01,16437.29,16346.77,14652.49,13208.38,11609.83
421040 Maracajá,7553.47,7866.53,9939.99,12873.67,14050.35,14010.42,13048.34,14444.79,16770.53,19459.29,18152.72,16258.99,16428.44,14063.05
421050 Maravilha,6890.45,7466.38,9005.49,11341.68,12719.27,12753.66,13776.79,16266.09,17406.3,17327.77,17494.41,20628.82,24975.82,14847.75
421055 Marema,5145.89,5743.41,6532.24,8694.49,9793.98,9905.01,9067.77,10764.99,13980.95,14523.7,14633.92,20440.4,15940.6,10890.92
421060 Massaranduba,6725,7982.24,9013.98,12264.97,13819.34,13076.17,14336.26,14574.52,16270.06,17878.7,22304.95,23670.03,22558.46,15264.6
421070 Matos Costa,2586.02,2775.13,2937.1,3600.18,3604.87,4238.19,4453.82,4752.44,7755.99,9794.68,9745.87,10278.76,10320.81,5628.92
421080 Meleiro,6068.15,8047.15,9492.16,15461.75,14812.73,13504.09,13508.87,14904.45,18449.52,22421.86,17705.3,20453.2,33172.23,15996.12
421085 Mirim Doce,4985.61,5284.5,5250.71,7616.66,9347.53,9271.78,8577.88,9684.72,11764.99,24210.98,13694.4,13125.31,14531.11,10463.11
421090 Modelo,4847.65,5065.2,5813.12,7478.27,8339.25,8401.62,8966.31,10549.26,11827.62,12521.18,13710.95,15627.94,13745.56,9809.14
421100 Mondaí,7226.19,7287.99,9933.82,13985.68,15889.83,16727.81,18338.64,23713.69,24465.82,28174.4,29556.65,31782.78,29873.51,20322.55
421105 Monte Carlo,5485.71,5400.91,6317.52,7482.16,6407.74,6386.68,7462.71,6882.21,10006.76,10328.26,13535.37,11724.58,11381.67,8329.89
421110 Monte Castelo,3038.11,3366.63,4094.69,5357.31,9716.78,8671.07,8896.27,9733.13,11066.88,12292.84,14055.95,14126.35,13982.1,9112.52
421120 Morro da Fumaça,10600.33,11051.36,10793.62,12243.38,14651.14,14740.4,16450.02,15631.15,21687,23036.41,25285.45,29787.71,26763.85,18091.43
421125 Morro Grande,4953.4,6339.71,6839.34,9075.53,9887.58,9357.16,8077.35,8742.18,20092.5,25889.38,31236.61,41388.83,33392.64,16552.85
421130 Navegantes,5134.89,5665.85,5822.68,6580.81,7378.24,8157.54,9723.44,11306.74,12735.36,15910.44,23117.19,19920.84,23342.62,12854.85
421140 Nova Erechim,5325.59,5787.52,6250.39,8425.86,11678.15,10766.31,10519.38,12504.09,14037.83,13866.13,17367.69,21137.05,15123.81,12074.22
421145 Nova Itaberaba,4230.3,5143.94,5985.22,7613.68,8458.16,9339.96,9183.69,10108.34,14040.69,14537.72,13368.57,20172.31,12629.19,10362.48
421150 Nova Trento,4936.44,5138.87,5961.41,7361.71,9269.64,9837.34,11188.97,12250.11,12972.58,13902.14,16570.16,18946.47,19253.37,11762.42
421160 Nova Veneza,11759.59,13713.15,15653.63,21708.8,25232.63,23742.49,23821.31,27376.36,32195.66,30337.66,31357.11,31398.39,27640.08,24624.55
421165 Novo Horizonte,4608.72,5135.08,6656.28,10237.05,11232.14,15655.86,11171.88,14900.42,14651.3,20906.64,22127.76,25655.89,16287.58,13590.44
421170 Orleans,7919.95,8663.42,9439.42,11333.89,12898.74,14618.99,15622.38,16767.21,18513.23,20328.04,23531.09,28282.47,27805.6,16794.09
421175 Otacílio Costa,12530.05,12764.93,13314.8,15865.22,19583.35,16507.14,18950.04,20198.57,20716.57,21945.81,30705.21,32071.5,27894.48,20593.09
421180 Ouro,4644.69,5136.23,5763.13,7223.19,8571.4,7964.86,7040.36,8253.67,10708.75,11391.79,10478.14,14576.87,12801.23,8764.76
421185 Ouro Verde,8570.59,9592.77,11773.74,19702.87,24796.58,16153.96,15829.97,20310.13,27138.7,29164.42,25036.68,23213.02,17377.18,19045.62
421187 Paial,3894.72,5016.85,5228.02,7429.13,7956.76,7942.09,7185.79,9166.45,11778.87,11024.57,11581.7,15299.53,11751.6,8685.89
421189 Painel,5672.69,5797.99,6545.22,7595.35,7560.83,8134.88,8395.47,9023.21,11274.17,12492.19,15828.84,14297.18,13051.39,9626.18
421190 Palhoça,3851.12,4172.33,4438.36,5179.07,5497.73,6082.01,7773.88,8269.78,11441.08,12899.34,14699.54,18327.81,17656.36,9708.19
421200 Palma Sola,4840.37,5250.86,7016.78,10113.99,11266.38,9922.59,10540.44,12384.45,14446.58,14585.52,17912.36,19764.44,14410.42,11672.66
421205 Palmeira,6148.05,8855.8,8277.83,9762.78,11633.1,14726.36,15641.76,15224.67,16227.31,18017.94,24365.58,26903.66,21707.78,15428.24
421210 Palmitos,6917.96,7540.4,10010.83,13782.3,16048.59,15575.29,14679.91,20516.37,22522.42,21442.29,22950.78,18929.53,17876.44,16096.27
421220 Papanduva,4550.2,5432.31,6552.84,8388.2,10515.76,9374.47,9600.75,11470.01,14543.41,16101.83,17412.43,16745.82,14777.52,11287.04
421223 Paraíso,3586.71,4037.51,4689.52,6768.86,7448.9,8332.22,7923.58,9105.69,10937.89,11067.98,12220.92,13377.3,14434.24,8592.94
421225 Passo de Torres,4562.03,4389.19,5050.51,7301.55,6594.5,7344.08,7966.04,8471.07,8617.85,9043.87,11469.93,7897.25,7695.87,7615.49
421227 Passos Maia,3314.48,3501.55,4374.08,5450.38,5329.1,5564.79,5639.4,6620.25,11755.7,13210.49,11860.22,14746.36,13529.82,7768.3
421230 Paulo Lopes,3639.28,4106.65,4801.08,5899.52,6527.84,7135.12,8510.46,9718.39,9878.58,11674.8,13986.88,20528.21,23287.37,10248.82
421240 Pedras Grandes,4453.07,5433.15,6515.75,10248.55,9004.34,10468.12,10873.96,10287.11,14636.99,14651.51,16551.78,19022.82,14678.55,11032.35
421250 Penha,4306.18,4859.83,5204,5850.22,6481.73,7157.19,8523.43,9162.71,10272.51,11343.79,12735.78,13911.79,14784.68,9249.57
421260 Peritiba,5009.68,5568.31,6362.95,8472.36,9449.26,10349.54,10774.53,13050.1,16552.91,15680.93,15848.49,16770.42,14869.31,11303.22
421270 Petrolândia,5293.87,6104.88,6932.7,8560.12,8782.95,9932.32,9485.92,11350.21,14394.34,16543.25,18519.09,17361.32,15253.91,11390.5
421290 Pinhalzinho,7148.77,8119.98,10853.5,12522.34,15742.45,14326.68,15648.81,18648.48,21009.48,25339.84,22688.5,30242.73,30311.3,18699.46
421300 Pinheiro Preto,8460.2,9888.71,9371.96,10550.46,11922.45,13440.47,14482.53,16605.94,19091.98,22460.16,24616.03,28935.62,26704.16,16983.34
421310 Piratuba,6405.67,8712.57,9006.93,13667.75,17640.94,12817.59,11021.99,10396.72,15865.86,16034.29,16906.43,22051.8,28386.37,14008.57
421315 Planalto Alegre,4651.94,5149.58,5885.26,8218.08,8740.71,7910.89,8139.08,10049.37,10615.26,10775.97,12921.05,14319.78,11785.22,9278.79
421320 Pomerode,10897.27,12136.83,12575.5,14124.05,16773.55,19325.49,21522.59,23909.17,25020.39,27232.83,31659.19,37032.36,42170.49,23449.62
421330 Ponte Alta,4928.34,6247.07,7021.66,9565.13,8802.28,10381.67,11053.52,9391.99,10863.12,11869.06,12194.13,13654.15,13704.42,9928.74
421335 Ponte Alta do Norte,5192.55,12964.58,15812.64,19321.4,16762.12,20135.26,18958.48,13048.17,14515.36,15511.53,21041.83,23751.46,19754.13,16686.14
421340 Ponte Serrada,5488.24,4660.15,5530.07,6649.91,6763.06,7222.91,7665.5,7932.13,9278.47,9388.09,11676.87,14120.85,14187.73,8523.26
421350 Porto Belo,5098.49,5937.59,6745.08,7387.79,8189.82,8592.47,11171.5,10567.56,12004.51,29114.9,29452.15,17936.25,16857.38,13856.29
421360 Porto União,3472.93,3534.54,3766.64,4860.17,5543.91,5617.15,6177.92,6778.28,9161.1,8447.12,9819.07,10466.65,10225.04,6800.68
